pcd,lat,long
SE1 0NN,51.50509,-0.098308
SE1 0NP,51.503504,-0.098115
SE1 0NQ,51.504523,-0.095508
SE1 0NR,51.504005,-0.098371
SE1 0NS,51.505108,-0.101103
SE1 0NT,51.505348,-0.10092
SE1 0NU,51.505652,-0.100807
SE1 0NW,51.503987,-0.096841
SE1 0NX,51.505034,-0.098743
SE1 0NY,51.504426,-0.099517
SE1 0NZ,51.505253,-0.100002
SE1 0PA,51.503301,-0.101135
SE1 0PB,51.50349,-0.101098
SE1 0PD,51.502676,-0.102472
SE1 0PE,51.503528,-0.099555
SE1 0PF,51.50445,-0.100957
SE1 0PG,51.50438,-0.096638
SE1 0PH,51.503504,-0.098115
SE1 0PJ,51.502582,-0.096712
SE1 0PL,51.502582,-0.096712
SE1 0PN,51.505236,-0.09676
SE1 0PP,51.502582,-0.096712
SE1 0PQ,51.504426,-0.099517
SE1 0PR,51.492762,-0.080152
SE1 0PS,51.492762,-0.080152
SE1 0PT,51.502722,-0.105352
SE1 0PU,51.502722,-0.105352
SE1 0PW,51.502689,-0.101088
SE1 0PX,51.505236,-0.09676
SE1 0PY,51.502948,-0.104276
SE1 0PZ,51.502705,-0.102615
SE1 0QA,51.502451,-0.103058
SE1 0QB,51.50242,-0.103895
SE1 0QD,51.500855,-0.101107
SE1 0QL,51.500707,-0.099661
SE1 0QN,51.500604,-0.101175
SE1 0QP,51.500952,-0.100959
SE1 0QR,51.501698,-0.10149
SE1 0QS,51.502451,-0.103058
SE1 0QT,51.500855,-0.101107
SE1 0QU,51.500878,-0.102547
SE1 0QW,51.500819,-0.101094
SE1 0QX,51.501359,-0.101158
SE1 0QY,51.500878,-0.102547
SE1 0QZ,51.501697,-0.102023
SE1 0RA,51.501645,-0.102126
SE1 0RB,51.501251,-0.101681
SE1 0RD,51.50092,-0.102217
SE1 0RE,51.500562,-0.101883
SE1 0RF,51.500908,-0.103252
SE1 0RG,51.499293,-0.10352
SE1 0RH,51.500835,-0.104335
SE1 0RJ,51.500676,-0.102814
SE1 0RL,51.500557,-0.103785
SE1 0RN,51.500199,-0.103901
SE1 0RP,51.499907,-0.103077
SE1 0RQ,51.500987,-0.10368
SE1 0RR,51.499661,-0.102871
SE1 0RS,51.499695,-0.102783
SE1 0RT,51.492762,-0.080152
SE1 0RU,51.499467,-0.102605
SE1 0RW,51.499723,-0.102307
SE1 0RX,51.499493,-0.103642
SE1 0RY,51.499621,-0.102657
SE1 0RZ,51.499447,-0.101871
SE1 0SA,51.499664,-0.10143
SE1 0SB,51.500273,-0.102399
SE1 0SD,51.500632,-0.102355
SE1 0SE,51.500562,-0.101883
SE1 0SF,51.506217,-0.101259
SE1 0SG,51.500855,-0.101107
SE1 0SH,51.501947,-0.101926
SE1 0SJ,51.499907,-0.103077
SE1 0SL,51.501049,-0.099773
SE1 0SN,51.506177,-0.10103
SE1 0SP,51.505372,-0.10236
SE1 0SQ,51.492762,-0.080152
SE1 0SR,51.50349,-0.101098
SE1 0SS,51.505372,-0.10236
SE1 0ST,51.506217,-0.101259
SE1 0SU,51.506026,-0.100013
SE1 0SW,51.505836,-0.099822
SE1 0SX,51.506226,-0.101258
SE1 0SY,51.506084,-0.098598
SE1 0SZ,51.506699,-0.10268
SE1 0TA,51.506312,-0.099871
SE1 0TB,51.505325,-0.09948
SE1 0TD,51.505752,-0.09867
SE1 0TE,51.505752,-0.09867
SE1 0TF,51.506312,-0.099871
SE1 0TG,51.505942,-0.097034
SE1 0TH,51.505886,-0.096344
SE1 0TJ,51.505845,-0.096072
SE1 0TL,51.505638,-0.096023
SE1 0TN,51.505441,-0.096118
SE1 0TP,51.505551,-0.096762
SE1 0TQ,51.505944,-0.09663
SE1 0TR,51.505747,-0.096681
SE1 0TS,51.505715,-0.096942
SE1 0TT,51.502689,-0.101088
SE1 0TU,51.505372,-0.10236
SE1 0TW,51.505446,-0.096377
SE1 0TX,51.506007,-0.100489
SE1 0TY,51.502689,-0.101088
SE1 0TZ,51.492762,-0.080152
SE1 0UA,51.492762,-0.080152
SE1 0UD,51.506114,-0.099908
SE1 0UE,51.504645,-0.101929
SE1 0UF,51.504795,-0.10175
SE1 0UG,51.505319,-0.101339
SE1 0UH,51.505232,-0.102063
SE1 0UJ,51.505869,-0.102556
SE1 0UL,51.50601,-0.102812
SE1 0UN,51.506226,-0.10293
SE1 0UP,51.506626,-0.102625
SE1 0UQ,51.504973,-0.102204
SE1 0UR,51.505844,-0.103219
SE1 0US,51.492762,-0.080152
SE1 0UT,51.492762,-0.080152
SE1 0UU,51.505156,-0.102945
SE1 0UW,51.505839,-0.104027
SE1 0UX,51.505168,-0.102991
SE1 0UY,51.492762,-0.080152
SE1 0UZ,51.492762,-0.080152
SE1 0WA,51.492762,-0.080152
SE1 0WB,51.492762,-0.080152
SE1 0WD,51.492762,-0.080152
SE1 0WE,51.492762,-0.080152
SE1 0WF,51.492762,-0.080152
SE1 0WG,51.492762,-0.080152
SE1 0WH,51.492762,-0.080152
SE1 0WJ,51.492762,-0.080152
SE1 0WL,51.492762,-0.080152
SE1 0WN,51.492762,-0.080152
SE1 0WP,51.492762,-0.080152
SE1 0WQ,51.492762,-0.080152
SE1 0WR,51.492762,-0.080152
SE1 0WS,51.492762,-0.080152
SE1 0WT,51.492762,-0.080152
SE1 0WU,51.492762,-0.080152
SE1 0WW,51.492762,-0.080152
SE1 0WX,51.492762,-0.080152
SE1 0WY,51.492762,-0.080152
SE1 0WZ,51.492762,-0.080152
SE1 0XA,51.504727,-0.10364
SE1 0XB,51.492762,-0.080152
SE1 0XD,51.504727,-0.10364
SE1 0XE,51.504491,-0.103521
SE1 0XF,51.492762,-0.080152
SE1 0XG,51.492762,-0.080152
SE1 0XH,51.504335,-0.102637
SE1 0XJ,51.492762,-0.080152
SE1 0XL,51.505322,-0.103745
SE1 0XN,51.504278,-0.103659
SE1 0XP,51.504945,-0.103776
SE1 0XQ,51.492762,-0.080152
SE1 0XR,51.492762,-0.080152
SE1 0XS,51.492762,-0.080152
SE1 0XT,51.492762,-0.080152
SE1 0XU,51.492762,-0.080152
SE1 0XW,51.492762,-0.080152
SE1 0XX,51.492762,-0.080152
SE1 0XZ,51.492762,-0.080152
SE1 0YA,51.492762,-0.080152
SE1 0YB,51.492762,-0.080152
SE1 0YD,51.502689,-0.101088
SE1 0YE,51.492762,-0.080152
SE1 0YF,51.492762,-0.080152
SE1 0YH,51.492762,-0.080152
SE1 0YJ,51.492762,-0.080152
SE1 0YL,51.492762,-0.080152
SE1 0YN,51.492762,-0.080152
SE1 0YP,51.492762,-0.080152
SE1 0YQ,51.492762,-0.080152
SE1 0YR,51.502689,-0.101088
SE1 0YS,51.502689,-0.101088
SE1 0ZA,51.492762,-0.080152
SE1 0ZB,51.503598,-0.103875
SE1 0ZD,51.492762,-0.080152
SE1 0ZE,51.502689,-0.101088
SE1 0ZF,51.502689,-0.101088
SE1 0ZG,51.502689,-0.101088
SE1 0ZH,51.502689,-0.101088
SE1 0ZJ,51.502689,-0.101088
SE1 0ZL,51.502689,-0.101088
SE1 0ZN,51.492762,-0.080152
SE1 0ZP,51.492762,-0.080152
SE1 0ZQ,51.492762,-0.080152
SE1 0ZR,51.502689,-0.101088
SE1 0ZS,51.492762,-0.080152
SE1 0ZT,51.492762,-0.080152
SE1 0ZU,51.502689,-0.101088
SE1 0ZW,51.503598,-0.103875
SE1 0ZZ,51.492762,-0.080152
SE1 1AA,51.502166,-0.092148
SE1 1AE,51.500689,-0.093636
SE1 1AF,51.501283,-0.096464
SE1 1AG,51.492762,-0.080152
SE1 1AH,51.492762,-0.080152
SE1 1AJ,51.492762,-0.080152
SE1 1AL,51.492762,-0.080152
SE1 1AN,51.501938,-0.094019
SE1 1AP,51.501664,-0.093757
SE1 1AQ,51.492762,-0.080152
SE1 1AR,51.492762,-0.080152
SE1 1AS,51.502168,-0.092122
SE1 1AT,51.502168,-0.092122
SE1 1AU,51.500095,-0.09571
SE1 1AW,51.492762,-0.080152
SE1 1AX,51.492762,-0.080152
SE1 1AY,51.498921,-0.095442
SE1 1BA,51.500338,-0.093045
SE1 1BB,51.500297,-0.093335
SE1 1BD,51.492762,-0.080152
SE1 1BE,51.500502,-0.093197
SE1 1BF,51.500407,-0.09346
SE1 1BG,51.500267,-0.093711
SE1 1BH,51.500145,-0.093932
SE1 1BJ,51.500052,-0.093763
SE1 1BL,51.50287,-0.092306
SE1 1BY,51.499726,-0.093618
SE1 1DA,51.499823,-0.094047
SE1 1DB,51.499536,-0.095154
SE1 1DD,51.499823,-0.095156
SE1 1DE,51.498964,-0.095422
SE1 1DF,51.499228,-0.094363
SE1 1DG,51.498964,-0.095422
SE1 1DH,51.498089,-0.0969
SE1 1DL,51.498112,-0.098339
SE1 1DN,51.499,-0.098706
SE1 1DP,51.498844,-0.099101
SE1 1DQ,51.498794,-0.094896
SE1 1DR,51.499303,-0.099561
SE1 1DS,51.499034,-0.099742
SE1 1DT,51.499034,-0.099742
SE1 1DU,51.499011,-0.098302
SE1 1DW,51.498112,-0.098339
SE1 1DX,51.499501,-0.096884
SE1 1DZ,51.499285,-0.098579
SE1 1EA,51.501182,-0.095186
SE1 1EB,51.502128,-0.094786
SE1 1ED,51.501203,-0.094839
SE1 1EE,51.50147,-0.095765
SE1 1EF,51.501569,-0.096322
SE1 1EG,51.500762,-0.095348
SE1 1EH,51.501591,-0.094924
SE1 1EJ,51.501729,-0.09512
SE1 1EL,51.501874,-0.095733
SE1 1EN,51.501389,-0.094644
SE1 1EP,51.501303,-0.094345
SE1 1EQ,51.500762,-0.095348
SE1 1ER,51.502836,-0.095708
SE1 1ES,51.503211,-0.095534
SE1 1ET,51.503248,-0.095085
SE1 1EU,51.503569,-0.094913
SE1 1EW,51.502252,-0.095761
SE1 1EX,51.503246,-0.094927
SE1 1EY,51.5029,-0.095215
SE1 1EZ,51.502414,-0.09463
SE1 1FA,51.492762,-0.080152
SE1 1FB,51.492762,-0.080152
SE1 1FD,51.492762,-0.080152
SE1 1FJ,51.492762,-0.080152
SE1 1FY,51.499023,-0.097956
SE1 1FZ,51.499023,-0.097956
SE1 1GA,51.500471,-0.094048
SE1 1GB,51.500471,-0.094048
SE1 1GD,51.503875,-0.091615
SE1 1GE,51.503839,-0.092136
SE1 1GF,51.504105,-0.09247
SE1 1GG,51.500471,-0.094048
SE1 1GH,51.503946,-0.092635
SE1 1GJ,51.504028,-0.092142
SE1 1GL,51.500471,-0.094048
SE1 1GN,51.50396,-0.091828
SE1 1GR,51.499823,-0.094047
SE1 1GZ,51.501977,-0.092113
SE1 1HA,51.502393,-0.095049
SE1 1HB,51.502393,-0.095049
SE1 1HD,51.501684,-0.09675
SE1 1HE,51.502489,-0.095405
SE1 1HF,51.502508,-0.095462
SE1 1HG,51.503534,-0.093765
SE1 1HH,51.502582,-0.091586
SE1 1HJ,51.501894,-0.09422
SE1 1HL,51.501799,-0.094411
SE1 1HN,51.501895,-0.094782
SE1 1HP,51.502062,-0.094544
SE1 1HQ,51.502217,-0.095258
SE1 1HR,51.502853,-0.091788
SE1 1HS,51.501894,-0.09422
SE1 1HT,51.502451,-0.095277
SE1 1HU,51.502512,-0.092393
SE1 1HW,51.502331,-0.091233
SE1 1HX,51.499901,-0.094868
SE1 1HY,51.499872,-0.094808
SE1 1HZ,51.501961,-0.091667
SE1 1JA,51.501694,-0.092398
SE1 1JB,51.501957,-0.094736
SE1 1JD,51.501016,-0.093179
SE1 1JE,51.50008,-0.094339
SE1 1JF,51.502073,-0.094604
SE1 1JG,51.499914,-0.095083
SE1 1JH,51.499693,-0.095435
SE1 1JJ,51.499682,-0.096289
SE1 1JL,51.499371,-0.096126
SE1 1JN,51.499011,-0.098302
SE1 1JP,51.492762,-0.080152
SE1 1JQ,51.501838,-0.094063
SE1 1JR,51.502065,-0.093103
SE1 1JS,51.50014,-0.095806
SE1 1JT,51.498988,-0.096862
SE1 1JU,51.500705,-0.095163
SE1 1JW,51.501932,-0.095976
SE1 1JX,51.501049,-0.094197
SE1 1JY,51.500738,-0.093908
SE1 1JZ,51.500738,-0.093908
SE1 1LA,51.502512,-0.092393
SE1 1LB,51.502732,-0.09256
SE1 1LD,51.503247,-0.092232
SE1 1LE,51.502559,-0.095273
SE1 1LF,51.500738,-0.093908
SE1 1LG,51.501838,-0.094063
SE1 1LH,51.501511,-0.093328
SE1 1LJ,51.50343,-0.091908
SE1 1LL,51.503485,-0.091808
SE1 1LN,51.50358,-0.0917
SE1 1LP,51.501637,-0.09387
SE1 1LQ,51.501816,-0.096572
SE1 1LR,51.501637,-0.09387
SE1 1LS,51.501637,-0.09387
SE1 1LT,51.504168,-0.089168
SE1 1LU,51.504286,-0.090878
SE1 1LW,51.501511,-0.093328
SE1 1LX,51.503286,-0.091337
SE1 1LY,51.505052,-0.089347
SE1 1LZ,51.50485,-0.089601
SE1 1NA,51.504632,-0.089494
SE1 1NB,51.504744,-0.089735
SE1 1ND,51.504286,-0.090878
SE1 1NE,51.504656,-0.089882
SE1 1NF,51.504542,-0.090046
SE1 1NG,51.501838,-0.094063
SE1 1NH,51.504243,-0.090462
SE1 1NJ,51.50275,-0.093204
SE1 1NL,51.504052,-0.090732
SE1 1NN,51.503962,-0.090862
SE1 1NP,51.503607,-0.091122
SE1 1NQ,51.504464,-0.090207
SE1 1NR,51.503411,-0.092355
SE1 1NS,51.504286,-0.090878
SE1 1NT,51.504286,-0.090878
SE1 1NU,51.501838,-0.094063
SE1 1NW,51.503387,-0.090915
SE1 1NX,51.504573,-0.08963
SE1 1NY,51.499949,-0.096246
SE1 1NZ,51.500221,-0.097474
SE1 1PA,51.500221,-0.097474
SE1 1PB,51.492762,-0.080152
SE1 1PD,51.499886,-0.096825
SE1 1PE,51.500501,-0.098096
SE1 1PF,51.501218,-0.097853
SE1 1PG,51.501251,-0.09782
SE1 1PH,51.500624,-0.09737
SE1 1PJ,51.501355,-0.097023
SE1 1PL,51.501355,-0.097023
SE1 1PN,51.500751,-0.096371
SE1 1PP,51.500464,-0.096862
SE1 1PQ,51.500757,-0.097855
SE1 1PR,51.499886,-0.096825
SE1 1PS,51.499881,-0.098179
SE1 1PT,51.499657,-0.098203
SE1 1PU,51.500014,-0.097468
SE1 1PW,51.500785,-0.096787
SE1 1PX,51.499636,-0.097484
SE1 1PY,51.504168,-0.089168
SE1 1PZ,51.500543,-0.096264
SE1 1QA,51.499933,-0.099704
SE1 1QB,51.499933,-0.099704
SE1 1QD,51.499933,-0.099704
SE1 1QE,51.500249,-0.098668
SE1 1QF,51.500063,-0.098863
SE1 1QG,51.499846,-0.099333
SE1 1QH,51.501264,-0.097473
SE1 1QJ,51.492762,-0.080152
SE1 1QL,51.501049,-0.094197
SE1 1QN,51.500894,-0.094636
SE1 1QP,51.500925,-0.095863
SE1 1QQ,51.499561,-0.098942
SE1 1QR,51.501453,-0.097494
SE1 1QS,51.501651,-0.096967
SE1 1QT,51.501671,-0.097082
SE1 1QU,51.501761,-0.096545
SE1 1QW,51.50026,-0.096002
SE1 1QX,51.502077,-0.096604
SE1 1QY,51.501707,-0.09819
SE1 1QZ,51.501499,-0.096469
SE1 1RB,51.500923,-0.095888
SE1 1RD,51.500974,-0.095699
SE1 1RE,51.500974,-0.095699
SE1 1RF,51.500974,-0.095699
SE1 1RG,51.504632,-0.090604
SE1 1RH,51.504309,-0.092318
SE1 1RJ,51.504309,-0.092318
SE1 1RQ,51.504557,-0.091417
SE1 1RT,51.492762,-0.080152
SE1 1RU,51.504661,-0.094468
SE1 1RX,51.504356,-0.095198
SE1 1RZ,51.504309,-0.092318
SE1 1SA,51.504875,-0.09666
SE1 1SB,51.501838,-0.094063
SE1 1SD,51.50351,-0.093504
SE1 1SE,51.503458,-0.095235
SE1 1SF,51.503481,-0.096675
SE1 1SG,51.503841,-0.095032
SE1 1SH,51.504709,-0.095327
SE1 1SJ,51.503411,-0.092355
SE1 1SQ,51.503434,-0.093795
SE1 1ST,51.503536,-0.091788
SE1 1SU,51.492762,-0.080152
SE1 1SZ,51.503517,-0.092236
SE1 1TA,51.504052,-0.093625
SE1 1TB,51.503434,-0.093795
SE1 1TD,51.504046,-0.09436
SE1 1TE,51.504515,-0.094358
SE1 1TF,51.503434,-0.093795
SE1 1TG,51.503434,-0.093795
SE1 1TJ,51.505001,-0.090491
SE1 1TL,51.50548,-0.090756
SE1 1TN,51.504286,-0.090878
SE1 1TP,51.504309,-0.092318
SE1 1TQ,51.505196,-0.089748
SE1 1TR,51.504309,-0.092318
SE1 1TS,51.505053,-0.090514
SE1 1TT,51.492762,-0.080152
SE1 1TU,51.504829,-0.091662
SE1 1TW,51.504309,-0.092318
SE1 1TX,51.504309,-0.092318
SE1 1TY,51.504891,-0.09104
SE1 1TZ,51.504309,-0.092318
SE1 1UA,51.504356,-0.095198
SE1 1UB,51.492762,-0.080152
SE1 1UD,51.504309,-0.092318
SE1 1UF,51.504309,-0.092318
SE1 1UG,51.504309,-0.092318
SE1 1UH,51.504309,-0.092318
SE1 1UJ,51.504333,-0.093758
SE1 1UL,51.50272,-0.089704
SE1 1UN,51.504989,-0.093604
SE1 1UP,51.492762,-0.080152
SE1 1UQ,51.492762,-0.080152
SE1 1UR,51.505044,-0.094924
SE1 1US,51.492762,-0.080152
SE1 1UT,51.492762,-0.080152
SE1 1UU,51.492762,-0.080152
SE1 1UW,51.492762,-0.080152
SE1 1UX,51.492762,-0.080152
SE1 1UZ,51.492762,-0.080152
SE1 1WA,51.492762,-0.080152
SE1 1WB,51.492762,-0.080152
SE1 1WD,51.492762,-0.080152
SE1 1WE,51.492762,-0.080152
SE1 1WF,51.492762,-0.080152
SE1 1WG,51.492762,-0.080152
SE1 1WH,51.492762,-0.080152
SE1 1WJ,51.492762,-0.080152
SE1 1WL,51.492762,-0.080152
SE1 1WN,51.492762,-0.080152
SE1 1WP,51.492762,-0.080152
SE1 1WQ,51.492762,-0.080152
SE1 1WR,51.492762,-0.080152
SE1 1WS,51.492762,-0.080152
SE1 1WT,51.492762,-0.080152
SE1 1WU,51.492762,-0.080152
SE1 1WW,51.492762,-0.080152
SE1 1WX,51.492762,-0.080152
SE1 1WY,51.492762,-0.080152
SE1 1WZ,51.492762,-0.080152
SE1 1XA,51.504353,-0.091134
SE1 1XB,51.504353,-0.091134
SE1 1XD,51.504353,-0.091134
SE1 1XE,51.503839,-0.092121
SE1 1XF,51.503989,-0.091409
SE1 1XG,51.503733,-0.091708
SE1 1XH,51.492762,-0.080152
SE1 1XJ,51.504168,-0.089168
SE1 1XL,51.504202,-0.091227
SE1 1XN,51.504234,-0.091557
SE1 1XP,51.502447,-0.091704
SE1 1XQ,51.504234,-0.091557
SE1 1XR,51.492762,-0.080152
SE1 1XS,51.503977,-0.089551
SE1 1XT,51.503977,-0.089551
SE1 1XU,51.50449,-0.090725
SE1 1XW,51.504399,-0.091049
