pcd,reg,lat,long
SE1 0LA,SE1,51.503789,-0.096288
SE1 0LB,SE1,51.503691,-0.096897
SE1 0LD,SE1,51.50365,-0.097143
SE1 0LE,SE1,51.50368,-0.097286
SE1 0LF,SE1,51.503656,-0.097503
SE1 0LG,SE1,51.503659,-0.097662
SE1 0LH,SE1,51.503874,-0.100376
SE1 0LJ,SE1,51.503528,-0.099555
SE1 0LL,SE1,51.50362,-0.098586
SE1 0LN,SE1,51.503603,-0.099753
SE1 0LP,SE1,51.503528,-0.099555
SE1 0LQ,SE1,51.503789,-0.096288
SE1 0LR,SE1,51.503421,-0.102271
SE1 0LS,SE1,51.502699,-0.103912
SE1 0LT,SE1,51.503364,-0.102775
SE1 0LU,SE1,51.503364,-0.102775
SE1 0LW,SE1,51.503851,-0.101775
SE1 0LX,SE1,51.503755,-0.101937
SE1 0LY,SE1,51.503574,-0.102435
SE1 0LZ,SE1,51.503574,-0.102435
SE1 0NA,SE1,51.504891,-0.099311
SE1 0NB,SE1,51.502988,-0.095644
SE1 0ND,SE1,51.50438,-0.096638
SE1 0NE,SE1,51.504524,-0.096113
SE1 0NF,SE1,51.505372,-0.10236
SE1 0NG,SE1,51.505087,-0.095354
SE1 0NH,SE1,51.50438,-0.096638
SE1 0NJ,SE1,51.504524,-0.096113
SE1 0NL,SE1,51.503941,-0.097769
SE1 0NN,SE1,51.50509,-0.098308
SE1 0NP,SE1,51.503504,-0.098115
SE1 0NQ,SE1,51.504523,-0.095508
SE1 0NR,SE1,51.504005,-0.098371
SE1 0NS,SE1,51.505108,-0.101103
SE1 0NT,SE1,51.505348,-0.10092
SE1 0NU,SE1,51.505652,-0.100807
SE1 0NW,SE1,51.503987,-0.096841
SE1 0NX,SE1,51.505034,-0.098743
SE1 0NY,SE1,51.504426,-0.099517
SE1 0NZ,SE1,51.505253,-0.100002
SE1 0PA,SE1,51.503301,-0.101135
SE1 0PB,SE1,51.50349,-0.101098
SE1 0PD,SE1,51.502676,-0.102472
SE1 0PE,SE1,51.503528,-0.099555
SE1 0PF,SE1,51.50445,-0.100957
SE1 0PG,SE1,51.50438,-0.096638
SE1 0PH,SE1,51.503504,-0.098115
SE1 0PJ,SE1,51.502582,-0.096712
SE1 0PL,SE1,51.502582,-0.096712
SE1 0PN,SE1,51.505236,-0.09676
